simple_hill_climbing output
 ('Ciudad Guayana', -6.2620e+01,   8.37) ('Kolwezi',  2.5660e+01, -10.7 )
 ('Padang',  1.0035e+02,  -0.95) ('Chiba',  1.4011e+02,  35.61)
 ('Mendoza', -6.8830e+01, -32.89) ('Managua', -8.6270e+01,  12.15)
 ('Biskek',  7.4570e+01,  42.87) ('Kathmandu',  8.5310e+01,  27.71)
 ('Gwalior',  7.8170e+01,  26.23) ('Niamey',  2.1200e+00,  13.52)
 ('El Alto', -6.8170e+01, -16.5 ) ('Kigali',  3.0060e+01,  -1.94)
 ('Qiqihar',  1.2400e+02,  47.35) ('Ulaanbaatar',  1.0691e+02,  47.93)
 ('Krasnoyarsk',  9.3060e+01,  56.02) ('Madurai',  7.8120e+01,   9.92)
 ('Asgabat',  5.8380e+01,  37.95) ('al-H?artum Bah?',  3.2520e+01,  15.64)
 ('Arequipa', -7.1530e+01, -16.39) ('Edmonton', -1.1354e+02,  53.57)
